root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
8029,7,True,6,0,1,3,1,0,2,4,3,2,1,3,d1:1;d2:1;d4:1
8031,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
8033,22,True,21,0,1,4,3,0,3,2,2,1,1,2,d1:1;d2:1
8035,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
8037,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
8039,31,True,30,0,4,2,12,0,1,8,5,2,3,3,d1:1;d3:1;d5:1;d6:1;d8:1
8041,21,True,20,0,1,5,2,0,3,4,2,1,1,2,d2:1;d4:1
8043,11,True,10,0,1,1,1,0,0,2,2,1,1,2,d1:1;d2:1
8045,8,True,7,0,1,4,1,0,3,2,2,1,1,2,d1:1;d2:1
8047,6,True,5,0,2,2,2,0,0,4,3,1,2,2,d1:1;d3:1;d4:1
8049,12,True,11,0,1,5,2,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
8051,13,True,12,0,2,8,4,0,4,4,3,1,2,2,d1:1;d3:1;d4:1
8053,12,True,11,0,1,5,2,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
8055,12,True,11,0,2,7,4,0,3,4,3,1,2,2,d1:1;d3:1;d4:1
8057,24,True,23,0,3,5,5,0,7,4,2,1,1,2,d1:1;d3:1
8059,11,True,10,0,1,2,2,0,0,2,2,1,1,2,d1:1;d2:1
8061,17,True,16,0,4,8,2,0,6,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
8063,16,True,15,0,4,2,2,0,5,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
8065,14,True,13,0,1,7,2,0,5,3,2,1,1,2,d1:1;d3:1
8067,12,True,11,0,1,5,2,0,3,5,3,2,1,3,d2:1;d4:1;d5:1
8069,14,True,13,0,1,4,2,0,2,4,2,1,1,2,d1:1;d3:1
8071,12,True,11,0,1,1,2,0,0,3,2,1,1,2,d2:1;d3:1
8073,17,True,16,0,2,5,4,0,4,4,2,1,1,2,d1:1;d3:1
8075,14,True,13,0,1,1,2,0,0,2,2,1,1,2,d1:1;d2:1
8077,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
8079,27,True,26,0,3,5,9,0,18,6,3,2,1,3,d2:1;d4:1;d5:1
8081,25,True,24,0,3,8,9,0,4,8,5,2,3,3,d1:1;d2:1;d4:1;d6:1;d7:1
8083,23,True,22,0,3,6,9,0,2,8,5,2,3,3,d1:1;d2:1;d4:1;d6:1;d7:1
8085,13,True,12,0,1,10,1,0,9,3,2,1,1,2,d2:1;d3:1
8087,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
8089,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
8091,29,True,28,0,5,1,13,0,20,6,3,2,1,3,d2:1;d4:1;d5:1
8093,30,True,29,0,5,26,13,0,21,6,3,2,1,3,d2:1;d4:1;d5:1
8095,20,True,19,0,5,3,7,0,7,4,3,1,2,2,d1:1;d2:1;d4:1
8097,16,True,15,0,1,13,1,0,12,3,2,1,1,2,d2:1;d3:1
8099,13,True,12,0,1,10,1,0,9,3,2,1,1,2,d2:1;d3:1
8101,28,True,27,0,5,4,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
8103,31,True,30,0,5,3,13,0,22,6,3,2,1,3,d2:1;d4:1;d5:1
8105,13,True,12,0,3,4,3,0,1,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
8107,15,True,14,0,1,1,1,0,0,2,2,1,1,2,d1:1;d2:1
8109,28,True,27,0,5,4,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
8111,12,True,11,0,2,1,1,0,0,4,3,1,2,2,d1:1;d3:1;d4:1
8113,20,True,19,0,3,15,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
8115,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
8117,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
8119,13,True,12,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
8121,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
8123,9,True,8,0,1,1,1,0,0,2,2,1,1,2,d1:1;d2:1
8125,12,True,11,0,1,2,1,0,1,3,2,1,1,2,d1:1;d3:1
8127,29,True,28,0,5,9,13,0,20,6,3,2,1,3,d2:1;d4:1;d5:1
8129,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
8131,20,True,19,0,4,10,9,0,3,3,2,1,1,2,d1:1;d3:1
8133,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
8135,14,True,13,0,1,2,2,0,0,3,2,1,1,2,d2:1;d3:1
8137,26,True,25,0,5,5,13,0,17,6,3,2,1,3,d2:1;d4:1;d5:1
8139,20,True,19,0,3,1,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
8141,28,True,27,0,4,6,12,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
8143,25,True,24,0,5,1,13,0,16,6,3,2,1,3,d2:1;d4:1;d5:1
8145,28,True,27,0,4,6,12,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
8147,14,True,13,0,1,11,1,0,10,3,2,1,1,2,d2:1;d3:1
8149,10,True,9,0,3,2,1,0,1,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
8151,27,True,26,0,4,2,12,0,18,6,3,2,1,3,d2:1;d4:1;d5:1
8153,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
8155,24,True,23,0,2,1,4,0,2,5,3,1,2,2,d2:1;d4:1;d5:1
8157,16,True,15,0,1,13,1,0,12,3,2,1,1,2,d2:1;d3:1
8159,13,True,12,0,1,1,1,0,0,5,3,2,1,3,d2:1;d4:1;d5:1
8161,30,True,29,0,8,14,12,0,8,5,2,1,1,2,d2:1;d4:1
8163,10,True,9,0,2,2,1,0,1,5,3,1,2,2,d1:1;d2:1;d4:1
8165,14,True,13,0,1,11,1,0,10,3,2,1,1,2,d2:1;d3:1
8167,27,True,26,0,5,1,13,0,18,6,3,2,1,3,d2:1;d4:1;d5:1
8169,13,True,12,0,1,2,1,0,1,4,2,1,1,2,d2:1;d4:1
8171,20,True,19,0,3,1,5,0,3,4,2,1,1,2,d1:1;d3:1
8173,26,True,25,0,4,21,12,0,17,6,3,2,1,3,d2:1;d4:1;d5:1
8175,21,True,20,0,2,4,6,0,0,4,3,1,2,2,d1:1;d3:1;d4:1
